date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/02/23,0,0,0,0,0,0,0,0
2012/02/24,0,0,0,0,0,1,1,0
2012/02/25,1,1,0,0,0,0,0,0
2012/02/26,0,0,0,0,0,0,0,0
2012/02/27,0,0,0,0,0,0,0,0
2012/02/28,0,0,0,0,0,0,0,0
2012/02/29,0,0,0,0,0,0,0,0
2012/03/01,0,0,0,0,0,0,0,0
2012/03/02,0,0,0,0,0,0,0,0
2012/03/03,0,0,0,0,0,0,0,0
2012/03/04,0,0,0,0,0,0,0,0
2012/03/05,0,0,0,0,0,0,0,0
2012/03/06,0,0,0,0,0,0,0,0
2012/03/07,0,0,0,0,0,0,0,0
2012/03/08,0,0,0,0,0,0,0,0
2012/03/09,0,0,0,0,0,0,0,0
2012/03/10,0,0,0,0,0,0,0,0
2012/03/11,0,0,0,0,0,0,0,0
2012/03/12,0,0,0,0,0,0,0,0
2012/03/13,0,0,0,0,0,0,0,0
2012/03/14,0,0,0,0,0,0,0,0
2012/03/15,0,0,0,0,0,0,0,0
2012/03/16,0,0,0,0,0,0,0,0
2012/03/17,0,0,0,0,0,0,0,0
2012/03/18,0,0,0,0,0,0,0,0
2012/03/19,0,0,0,0,0,0,0,0
2012/03/20,0,0,0,0,0,0,0,0
2012/03/21,0,0,0,0,0,0,0,0
2012/03/22,0,0,0,0,0,0,0,0
2012/03/23,0,0,0,0,0,0,0,0
2012/03/24,0,0,0,0,0,0,0,0
2012/03/25,0,0,0,0,0,0,0,0
2012/03/26,0,0,0,0,0,0,0,0
2012/03/27,0,0,0,0,0,0,0,0
2012/03/28,0,0,0,0,0,0,0,0
2012/03/29,0,0,0,0,0,0,0,0
2012/03/30,0,0,0,0,0,0,0,0
2012/03/31,0,0,0,0,0,0,0,0
2012/04/01,0,0,0,0,0,0,0,0
2012/04/02,0,0,0,0,0,0,0,0
2012/04/03,0,0,0,0,0,0,0,0
2012/04/04,0,0,0,0,0,0,0,0
2012/04/05,0,0,0,0,0,0,0,0
2012/04/06,0,0,0,0,0,0,0,0
2012/04/07,0,0,0,0,0,0,0,0
2012/04/08,0,0,0,0,0,0,0,0
2012/04/09,0,0,0,0,0,0,0,0
2012/04/10,0,0,0,0,0,0,0,0
2012/04/11,0,0,0,0,0,0,0,0
2012/04/12,0,0,0,0,0,0,0,0
2012/04/13,0,0,0,0,0,0,0,0
2012/04/14,0,0,0,0,0,0,0,0
2012/04/15,0,0,0,0,0,0,0,0
2012/04/16,0,0,0,0,0,0,0,0
2012/04/17,0,0,0,0,0,0,0,0
2012/04/18,0,0,0,0,0,0,0,0
2012/04/19,0,0,0,0,0,0,0,0
2012/04/20,0,0,0,0,0,0,0,0
2012/04/21,0,0,0,0,0,0,0,0
2012/04/22,0,0,0,0,0,0,0,0
2012/04/23,0,0,0,0,0,0,0,0
2012/04/24,0,0,0,0,0,0,0,0
2012/04/25,0,0,0,0,0,0,0,0
2012/04/26,0,0,0,0,0,0,0,0
2012/04/27,0,0,0,0,0,0,0,0
2012/04/28,0,0,0,0,0,0,0,0
2012/04/29,0,0,0,0,0,0,0,0
2012/04/30,0,0,0,0,0,0,0,0
2012/05/01,0,0,0,0,0,0,0,0
2012/05/02,0,0,0,0,0,0,0,0
2012/05/03,0,0,0,0,0,0,0,0
2012/05/04,0,0,0,0,0,0,0,0
2012/05/05,0,0,0,0,0,0,0,0
2012/05/06,0,0,0,0,0,0,0,0
2012/05/07,0,0,0,0,0,1,1,0
2012/05/08,3,2,1,1,0,0,0,0
2012/05/09,1,0,1,1,0,1,2,1
2012/05/10,3,1,1,3,2,0,0,0
2012/05/11,0,0,1,3,2,0,0,0
2012/05/12,1,0,1,4,3,0,1,1
2012/05/13,1,0,1,4,3,0,0,0
2012/05/14,5,0,1,5,4,5,10,5
2012/05/15,7,6,2,3,1,4,5,1
2012/05/16,2,2,2,2,0,10,11,1
2012/05/17,10,9,1,1,0,13,13,0
2012/05/18,14,11,1,2,1,0,0,0
2012/05/19,0,0,1,2,1,1,2,1
2012/05/20,1,1,1,1,0,0,0,0
2012/05/21,1,0,1,2,1,1,1,0
2012/05/22,2,2,1,2,1,1,2,1
2012/05/23,2,0,1,2,1,0,0,0
2012/05/24,0,0,1,2,1,0,0,0
2012/05/25,1,0,1,2,1,1,1,0
2012/05/26,0,0,1,2,1,0,0,0
2012/05/27,0,0,1,2,1,2,2,0
2012/05/28,8,3,4,5,1,4,4,0
2012/05/29,3,2,5,6,1,1,3,2
2012/05/30,5,3,7,8,1,7,10,3
2012/05/31,7,5,8,8,0,2,3,1
2012/06/01,5,2,8,8,0,2,3,1
2012/06/02,2,2,8,8,0,2,3,1
2012/06/03,1,0,6,6,0,1,2,1
2012/06/04,3,0,6,6,0,0,1,1
2012/06/05,0,0,6,6,0,1,3,2
2012/06/06,3,1,6,7,1,1,3,2
2012/06/07,3,1,6,8,2,1,3,2
2012/06/08,2,1,6,9,3,0,2,2
2012/06/09,0,0,6,9,3,0,2,2
