data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-12-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-12-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-14-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-14-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-15-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-16-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
6-17-2012,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
2012-06-18,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
2012-06-19,mediawiki/extensions/CentralNotice,1,2012-05-12 18:14:55,0,1,1,2012-05-12 11:47:39,0,1
